"","carat","cut","color","clarity","price"
"97",0.67,"Good","F","VS1",2244
"98",1.15,"Very Good","G","SI1",5538
"99",0.33,"Ideal","H","VVS2",666
"100",1.02,"Very Good","H","SI1",4476
"101",0.3,"Ideal","E","VS2",844
"102",2.02,"Very Good","G","SI2",15877
"103",0.9,"Premium","F","SI1",4158
"104",0.7,"Good","F","SI1",2401
"105",0.38,"Ideal","H","VVS2",1069
"106",0.38,"Premium","F","SI2",770
"107",2.55,"Premium","I","SI2",14351
"108",1,"Good","H","VVS2",6194
"109",0.6,"Ideal","H","VS1",1772
"110",0.5,"Good","E","VS2",1348
"111",0.31,"Premium","E","SI2",435
"112",1.13,"Ideal","E","VS2",8404
"113",1.06,"Very Good","G","VS2",6325
"114",1.01,"Premium","H","SI2",3959
"115",0.26,"Very Good","H","VVS2",486
"116",1.03,"Ideal","H","VVS2",6560
"117",2.09,"Premium","G","SI2",14024
"118",1.02,"Ideal","F","VS1",7091
"119",0.31,"Ideal","J","VS2",396
"120",0.71,"Fair","G","VVS1",3062
"121",1.2,"Ideal","H","SI1",6569
"122",1.91,"Premium","I","SI1",13367
"123",1.12,"Ideal","G","SI2",4158
"124",0.7,"Good","D","SI1",2512
"125",0.31,"Premium","E","VS1",942
"126",0.37,"Premium","I","VS1",749
"127",0.71,"Ideal","D","SI1",3262
"128",0.3,"Premium","H","VVS1",684
"129",0.79,"Ideal","E","VS2",3861
"130",1.12,"Premium","G","SI2",4084
"131",0.71,"Very Good","I","SI2",1902
"132",1.53,"Very Good","H","IF",13369
"133",2.07,"Premium","I","VS2",18193
"134",1.04,"Very Good","F","SI2",4427
"135",0.25,"Very Good","F","VVS1",548
"136",0.3,"Ideal","D","VVS2",814
"137",0.31,"Premium","E","VS2",680
"138",0.31,"Premium","D","VVS1",942
"139",0.38,"Ideal","I","VVS1",791
"140",0.32,"Ideal","G","VS1",602
"141",0.9,"Fair","E","SI2",3342
"142",0.54,"Ideal","J","VVS1",1239
"143",1,"Good","F","VS2",6037
"144",0.31,"Ideal","F","VS2",625
"145",1.05,"Ideal","H","VS2",5993
"146",0.57,"Very Good","H","VS2",1605
"147",0.3,"Good","G","VS1",565
"148",0.9,"Ideal","H","VS1",5013
"149",0.33,"Ideal","G","VVS1",838
"150",0.55,"Ideal","F","SI2",1183
"151",0.58,"Ideal","E","VS2",1698
"152",0.91,"Premium","E","VVS2",7006
"153",0.9,"Good","D","VS2",3604
"154",0.4,"Very Good","D","SI1",924
"155",1,"Very Good","G","VS2",6208
"156",1.48,"Good","G","IF",15164
"157",0.33,"Very Good","G","SI1",631
"158",1.2,"Very Good","I","SI1",5226
"159",0.3,"Ideal","G","VS1",637
"160",0.51,"Very Good","G","VVS2",1895
"161",1.16,"Premium","F","VS2",7003
"162",0.73,"Ideal","G","VVS2",3183
"163",0.71,"Premium","I","VVS1",2572
"164",0.34,"Premium","H","VS1",596
"165",0.51,"Very Good","G","VVS2",1875
"166",0.56,"Very Good","G","SI1",1408
"167",1.5,"Good","G","VS2",11508
"168",1.52,"Very Good","J","SI1",7239
"169",1.05,"Ideal","F","VVS1",12273
"170",1.14,"Ideal","F","SI2",4591
"171",0.9,"Premium","D","SI2",4114
"172",0.75,"Ideal","E","VS1",3086
"173",1.21,"Very Good","H","VS1",7246
"174",1.01,"Very Good","G","VVS1",8373
"175",2,"Good","E","SI2",15393
"176",0.4,"Good","G","SI1",655
"177",1.57,"Premium","G","SI2",8572
"178",1.58,"Ideal","F","SI1",12621
"179",0.34,"Ideal","D","VS2",1033
"180",0.34,"Ideal","F","VS2",880
"181",0.41,"Ideal","H","IF",1100
"182",0.9,"Premium","G","SI1",3879
"183",1.03,"Ideal","G","VS1",7481
"184",1.01,"Premium","F","SI1",4989
"185",0.53,"Good","E","VS1",1776
"186",0.33,"Ideal","D","VVS1",1176
"187",0.38,"Ideal","H","SI2",510
"188",0.36,"Ideal","G","SI2",505
"189",1.5,"Fair","H","VVS2",7476
"190",1.36,"Premium","F","VS2",10929
"191",0.3,"Ideal","H","VVS2",776
"192",0.32,"Ideal","H","IF",814
"193",0.38,"Ideal","H","VS1",768
"194",1.5,"Fair","H","I1",2964
"195",0.25,"Ideal","G","SI1",363
"196",1.08,"Very Good","F","VVS1",10204
"197",0.7,"Good","I","SI1",2142
"198",1.23,"Ideal","H","SI1",7313
"199",0.5,"Very Good","E","VS2",1624
"200",0.32,"Premium","H","SI1",576
"201",1.52,"Ideal","I","SI1",9067
"202",0.38,"Premium","I","VS1",700
"203",0.47,"Good","E","VVS1",1690
"204",0.36,"Very Good","F","SI1",600
"205",0.7,"Premium","I","VVS2",2415
"206",0.41,"Very Good","E","VS2",866
"207",0.9,"Ideal","F","SI2",3796
"208",1.52,"Premium","H","VS1",11853
"209",2.37,"Ideal","J","SI1",18508
"210",1.12,"Premium","G","VS2",6774
"211",1.17,"Very Good","I","SI1",4826
"212",0.52,"Premium","E","VS1",1793
"213",0.44,"Premium","E","VS2",1073
"214",2.01,"Very Good","D","SI2",12639
"215",0.79,"Ideal","E","VS2",3827
"216",1,"Premium","E","SI2",3752
"217",1,"Premium","F","SI1",5152
"218",0.54,"Ideal","H","VVS1",1846
"219",0.72,"Good","F","VVS2",3145
"220",0.8,"Very Good","F","SI2",2772
"221",0.96,"Good","G","SI1",4234
"222",0.71,"Very Good","D","VVS2",3670
"223",0.31,"Ideal","E","VVS2",755
"224",1.04,"Good","J","VS2",3844
"225",0.73,"Premium","F","SI1",2527
"226",0.74,"Premium","D","VS2",2897
"227",0.31,"Ideal","H","VS1",544
"228",0.41,"Good","G","SI1",836
"229",1.7,"Ideal","H","I1",7068
"230",0.37,"Ideal","F","VVS2",839
"231",0.5,"Good","D","SI1",1190
"232",0.41,"Premium","F","VVS2",1115
"233",0.31,"Premium","F","SI1",516
"234",2.21,"Premium","G","SI2",17525
"235",0.51,"Ideal","G","VS1",1595
"236",0.3,"Ideal","H","VS2",491
"237",0.4,"Premium","F","VVS1",1263
"238",0.42,"Ideal","G","VVS2",1031
"239",1.26,"Very Good","F","VS1",10284
"240",0.71,"Good","E","SI1",2420
"241",0.97,"Good","J","VS2",3717
"242",0.31,"Premium","H","VVS2",802
"243",1.7,"Premium","D","SI1",15238
"244",0.31,"Ideal","G","IF",891
"245",1,"Premium","F","SI1",5221
"246",1.21,"Ideal","J","VS1",5324
"247",0.33,"Ideal","D","VS2",1002
"248",1.52,"Premium","D","SI2",8897
"249",0.4,"Very Good","D","VVS2",1128
"250",0.74,"Ideal","F","SI1",2851
"251",0.32,"Ideal","F","VVS1",867
"252",0.38,"Ideal","E","VS1",1027
"253",1.04,"Ideal","D","VVS2",11511
"254",0.61,"Ideal","D","VVS2",3036
"255",0.41,"Ideal","D","SI1",1015
"256",0.51,"Premium","E","VS2",1781
"257",1.59,"Ideal","G","VVS1",16599
"258",0.51,"Premium","F","SI1",1421
"259",0.43,"Ideal","G","SI1",790
"260",1.01,"Premium","D","SI2",4672
"261",1.01,"Premium","D","SI1",5599
"262",1.18,"Very Good","H","SI1",5508
"263",0.23,"Good","D","VVS1",425
"264",1.52,"Premium","G","VVS1",12498
"265",2.2,"Premium","G","SI2",15897
"266",0.32,"Premium","G","SI1",612
"267",0.92,"Premium","F","SI1",3967
"268",1.08,"Premium","I","SI1",4355
"269",1.54,"Very Good","I","VVS2",10518
"270",0.83,"Very Good","E","SI2",2799
"271",0.71,"Very Good","J","VS2",1902
"272",1.06,"Very Good","E","VS2",7079
"273",1.02,"Ideal","F","IF",11116
"274",2.03,"Very Good","I","VS2",16422
"275",0.26,"Very Good","F","VVS2",554
"276",1.54,"Premium","E","VS2",15178
"277",0.3,"Ideal","E","VS1",911
"278",0.52,"Premium","G","VS1",1622
"279",1.51,"Good","G","VVS2",13155
"280",0.4,"Premium","E","SI1",945
"281",1.2,"Good","I","VS1",5818
"282",1.22,"Premium","I","VS1",6763
"283",0.55,"Ideal","D","SI1",1611
"284",0.66,"Good","H","VS1",1978
"285",0.6,"Ideal","D","VVS1",3570
"286",1.19,"Very Good","H","VS2",6819
"287",1.6,"Ideal","G","VS2",15000
"288",0.9,"Very Good","D","SI1",4466
"289",0.71,"Very Good","F","SI2",2266
"290",0.23,"Good","E","VS2",357
"291",0.35,"Ideal","F","VS2",906
"292",0.27,"Very Good","F","VVS2",620
"293",0.32,"Very Good","G","SI2",540
"294",1.12,"Premium","H","SI1",5363
"295",0.9,"Very Good","E","SI1",4151
"296",2.21,"Premium","J","SI2",13642
"297",2.01,"Good","I","SI1",10184
"298",0.46,"Ideal","J","VVS1",953
"299",0.54,"Ideal","E","SI2",1340
"300",0.33,"Ideal","E","VS2",928
"301",1.05,"Very Good","E","VS2",6803
"302",1.51,"Ideal","H","SI1",11062
"303",1.02,"Ideal","J","VS2",4485
"304",0.32,"Ideal","E","VVS2",864
"305",1,"Very Good","F","SI2",3906
"306",0.32,"Ideal","G","IF",1020
"307",1.02,"Good","E","SI2",4712
"308",0.52,"Premium","G","SI2",1076
"309",0.74,"Very Good","E","VS1",3357
"310",0.3,"Ideal","H","VS2",454
"311",1.01,"Premium","D","SI1",5939
"312",1.01,"Premium","G","VS2",5864
"313",1.23,"Premium","H","VS2",7089
"314",1.53,"Ideal","F","SI1",12616
"315",0.4,"Good","E","SI2",617
"316",0.23,"Premium","E","VVS1",640
"317",1.25,"Premium","G","VS1",9282
"318",0.73,"Ideal","G","SI1",2630
"319",2.2,"Ideal","I","VS1",15092
"320",0.66,"Good","H","VS1",1832
"321",1.5,"Premium","F","VS1",15708
"322",0.71,"Very Good","H","IF",3112
"323",0.42,"Ideal","F","SI2",663
"324",0.72,"Very Good","G","SI2",2114
"325",0.5,"Fair","H","SI1",1094
"326",1.6,"Premium","G","SI1",11818
"327",0.4,"Good","D","VS1",954
"328",0.61,"Ideal","F","VS1",2246
"329",0.3,"Ideal","F","VVS2",684
"330",0.34,"Good","E","SI1",596
"331",1.6,"Ideal","J","VS1",10011
"332",0.55,"Premium","F","VS2",2376
"333",0.63,"Ideal","F","VVS2",2961
"334",0.51,"Very Good","E","SI2",1098
"335",2,"Ideal","G","SI2",11988
"336",0.32,"Ideal","I","VS1",529
"337",0.41,"Premium","E","SI1",755
"338",0.31,"Ideal","G","VS1",596
"339",1.09,"Good","H","SI1",5010
"340",1.1,"Ideal","I","SI1",5199
"341",0.42,"Premium","G","VS1",984
"342",0.9,"Very Good","D","SI2",3818
"343",0.31,"Premium","H","VS2",489
"344",0.52,"Ideal","H","SI2",1035
"345",1.01,"Fair","F","VS1",6651
"346",0.93,"Very Good","I","VS1",4033
"347",1.1,"Very Good","G","SI1",4997
"348",0.3,"Premium","E","VS1",814
"349",0.34,"Ideal","E","VVS1",1084
"350",2.19,"Premium","H","SI1",17016
"351",1.11,"Ideal","H","VVS2",6837
"352",0.3,"Ideal","I","SI1",422
"353",0.42,"Premium","H","VS1",1087
"354",1.19,"Ideal","H","VVS2",7651
"355",0.3,"Very Good","G","VS1",725
"356",0.25,"Very Good","E","VVS1",576
"357",0.34,"Ideal","E","VVS1",1014
"358",1.43,"Very Good","H","SI1",8654
"359",0.75,"Premium","F","SI1",2782
"360",0.31,"Ideal","E","VS2",680
"361",0.3,"Ideal","G","VVS2",655
"362",0.24,"Very Good","G","VVS2",449
"363",0.44,"Premium","D","SI1",1089
"364",0.33,"Ideal","F","VVS1",893
"365",1,"Very Good","G","VS2",5967
"366",1,"Good","D","SI1",4786
"367",0.31,"Ideal","G","IF",891
"368",1.21,"Ideal","G","VVS2",10568
"369",0.54,"Ideal","D","VS2",1892
"370",0.51,"Premium","E","SI1",1546
"371",1.52,"Ideal","H","SI1",7729
"372",0.32,"Good","F","SI1",593
"373",1.01,"Very Good","J","SI2",3906
"374",1.01,"Ideal","F","VS2",6672
"375",0.75,"Ideal","E","SI1",2652
"376",0.38,"Very Good","G","VS2",766
"377",2.02,"Ideal","J","VS1",15231
"378",0.71,"Ideal","E","SI1",3360
"379",1,"Good","G","VS2",5860
"380",1.13,"Premium","I","SI1",4536
"381",1.71,"Premium","G","SI2",11351
"382",0.41,"Ideal","E","VVS1",1367
"383",0.4,"Ideal","E","VS1",1053
"384",1.23,"Premium","F","VS1",9471
"385",0.64,"Ideal","J","VVS2",1709
"386",1.2,"Ideal","H","SI1",6471
"387",0.28,"Ideal","F","VVS2",787
"388",0.37,"Very Good","H","VS2",608
"389",0.92,"Premium","H","SI1",3618
"390",0.36,"Ideal","D","SI2",689
"391",0.41,"Premium","G","VS2",1061
"392",0.35,"Ideal","D","SI1",644
"393",0.9,"Very Good","J","SI2",2693
"394",1.2,"Premium","F","VVS2",11021
"395",0.47,"Ideal","J","SI1",740
"396",1.02,"Ideal","D","SI1",6191
"397",1.52,"Very Good","G","VS2",11986
"398",0.66,"Good","G","VS1",2055
"399",1.51,"Good","F","SI1",10514
"400",0.27,"Ideal","F","IF",796
"401",0.55,"Ideal","E","SI1",1621
"402",0.33,"Ideal","D","VS2",1002
"403",1.03,"Premium","I","SI1",3749
"404",2.04,"Ideal","F","SI2",17049
"405",1.03,"Premium","F","VS1",6783
"406",0.41,"Very Good","F","SI1",755
"407",2.11,"Premium","D","SI2",18575
"408",1.15,"Very Good","J","VS2",4766
"409",0.3,"Ideal","H","VVS2",590
"410",0.31,"Good","H","VS1",476
"411",0.5,"Ideal","G","VVS2",1836
"412",0.37,"Ideal","E","VS1",921
"413",0.9,"Good","F","SI2",3318
"414",0.51,"Premium","F","VS2",1619
"415",0.73,"Very Good","F","SI1",2549
"416",0.37,"Premium","J","VS2",454
"417",1.09,"Premium","H","SI2",4496
"418",0.34,"Very Good","H","VVS2",686
"419",0.35,"Ideal","D","VS1",862
"420",0.52,"Premium","D","VS2",1749
"421",1.14,"Ideal","H","VVS2",7354
"422",0.28,"Ideal","G","VVS2",586
"423",0.33,"Ideal","F","IF",1389
"424",1.12,"Ideal","G","VS1",7827
"425",0.81,"Ideal","G","IF",4751
"426",0.34,"Ideal","D","VVS1",1211
"427",0.41,"Premium","D","VVS2",1181
"428",1.04,"Premium","G","VVS2",7953
"429",0.9,"Very Good","E","SI1",3868
"430",0.73,"Ideal","H","SI1",2377
"431",1.01,"Ideal","J","SI2",4174
"432",1.06,"Premium","G","VS1",7130
"433",0.34,"Ideal","G","VS2",765
"434",0.91,"Fair","F","I1",1570
"435",0.32,"Premium","G","IF",1020
"436",1,"Premium","D","VVS2",9274
"437",0.52,"Premium","F","SI1",1370
"438",1.29,"Good","F","SI1",7828
"439",1.07,"Ideal","G","SI1",5444
"440",1,"Premium","G","VS2",6048
"441",1.32,"Ideal","G","VS1",11584
"442",0.31,"Ideal","E","IF",958
"443",1.8,"Ideal","F","SI1",16364
"444",0.3,"Good","E","VVS2",622
"445",0.72,"Ideal","F","SI2",2674
"446",0.58,"Very Good","E","VS1",2082
"447",1.6,"Premium","F","SI2",6899
"448",1.06,"Ideal","H","SI2",4516
"449",0.7,"Very Good","D","VS1",3567
"450",0.75,"Very Good","G","SI1",2462
"451",1.01,"Very Good","F","VVS2",8212
"452",0.73,"Very Good","H","VVS1",2772
"453",0.92,"Ideal","J","SI1",3170
"454",1,"Premium","J","SI1",3528
"455",0.4,"Very Good","D","VVS2",1263
"456",0.58,"Ideal","D","SI2",1356
"457",1.14,"Very Good","I","SI1",4788
"458",1.07,"Premium","H","VS2",4830
"459",0.55,"Very Good","H","VVS1",1881
"460",0.35,"Ideal","F","VVS1",994
"461",0.57,"Premium","H","VS2",1414
"462",0.9,"Very Good","D","VS2",4981
"463",1.3,"Premium","F","VS1",11130
"464",1.04,"Ideal","F","SI1",5626
"465",1.51,"Premium","E","VS2",14709
"466",0.34,"Very Good","G","SI1",507
"467",0.3,"Ideal","D","VS2",710
"468",0.42,"Premium","D","SI1",1040
"469",0.5,"Premium","I","SI1",1059
"470",0.72,"Very Good","G","IF",3405
"471",0.72,"Ideal","I","VVS2",2340
"472",0.56,"Ideal","D","IF",4632
"473",0.93,"Ideal","E","SI1",4374
"474",0.54,"Ideal","G","VVS2",2090
"475",0.4,"Ideal","F","VS2",842
"476",1.24,"Premium","D","SI2",5311
"477",0.34,"Ideal","D","VS2",923
"478",1.5,"Very Good","H","SI1",7459
"479",0.41,"Premium","F","VS2",863
"480",0.73,"Premium","F","VS2",2801
"481",0.3,"Very Good","D","SI2",447
"482",0.9,"Good","F","VS2",4493
"483",0.5,"Very Good","E","VS2",1559
"484",0.71,"Ideal","G","SI2",2264
"485",1.33,"Very Good","I","VS2",6203
"486",1.74,"Premium","H","SI2",10874
"487",1.26,"Premium","F","VS1",10669
"488",2.08,"Premium","H","SI2",11851
"489",0.3,"Premium","F","VS2",776
"490",0.72,"Premium","E","SI2",2019
"491",1,"Ideal","E","SI1",5880
"492",0.9,"Fair","G","SI2",2834
"493",1.01,"Fair","G","VS2",5950
"494",0.9,"Premium","G","VS1",4460
"495",0.71,"Ideal","E","SI2",2388
"496",0.3,"Premium","F","SI2",506
"497",2.3,"Premium","I","SI2",11051
"498",0.58,"Very Good","G","VVS2",2078
"499",0.31,"Ideal","G","VS2",544
"500",0.84,"Fair","I","VS2",2359
"501",0.9,"Good","G","SI1",3574
"502",0.44,"Very Good","G","SI1",772
"503",0.54,"Premium","G","VS1",1760
"504",1.19,"Very Good","I","SI1",4665
"505",1.01,"Premium","F","VS2",6097
"506",0.32,"Ideal","D","SI2",612
"507",0.41,"Ideal","D","SI1",791
"508",0.9,"Very Good","E","VS2",4419
"509",0.39,"Ideal","E","VS2",796
"510",0.37,"Ideal","H","IF",936
"511",0.9,"Very Good","F","SI2",3519
"512",0.7,"Ideal","G","VVS2",3205
"513",0.43,"Ideal","G","SI1",951
"514",1.01,"Very Good","H","SI1",4306
"515",0.32,"Ideal","F","VVS1",867
"516",0.35,"Ideal","E","VVS1",1000
"517",0.81,"Ideal","H","VS1",3257
"518",0.76,"Ideal","F","VS1",3446
"519",0.9,"Very Good","F","SI1",3950
"520",0.7,"Very Good","D","VVS2",4022
"521",0.8,"Premium","F","SI2",2762
"522",1.11,"Ideal","G","VS2",6982
"523",0.54,"Ideal","E","SI2",1340
"524",0.31,"Ideal","D","SI1",732
"525",0.77,"Good","G","SI1",2373
"526",0.26,"Very Good","E","VVS1",657
"527",0.73,"Ideal","E","VS1",3327
"528",0.23,"Good","G","VVS2",537
"529",0.7,"Very Good","F","SI2",1940
"530",0.53,"Ideal","F","VVS2",2290
"531",2.26,"Ideal","I","SI2",15606
"532",0.39,"Ideal","E","VVS1",1183
"533",0.9,"Ideal","F","SI2",3619
"534",0.33,"Ideal","H","VS1",598
"535",0.31,"Premium","G","VS2",698
"536",0.33,"Ideal","H","VVS1",965
"537",0.61,"Ideal","I","VS2",1627
"538",0.3,"Very Good","E","VS2",658
"539",0.43,"Very Good","F","SI2",681
"540",0.3,"Ideal","H","VVS2",605
"541",0.56,"Very Good","H","VS1",1688
"542",0.41,"Ideal","D","VS1",1230
"543",1,"Good","D","SI1",6568
"544",0.38,"Good","D","VS2",871
"545",2.02,"Good","I","SI1",13286
"546",0.41,"Ideal","D","VS1",1230
"547",1.01,"Ideal","E","SI1",5262
"548",0.4,"Very Good","F","VS1",982
"549",0.84,"Very Good","G","VS2",3596
"550",0.51,"Ideal","E","SI1",1546
"551",0.82,"Premium","I","VS2",2716
"552",1,"Premium","G","SI2",3696
"553",1.55,"Premium","J","SI1",7502
"554",0.23,"Very Good","D","VS1",468
"555",1.03,"Ideal","H","SI2",3692
"556",0.58,"Ideal","G","SI2",1276
"557",2.5,"Ideal","J","SI2",14502
"558",0.52,"Ideal","F","VVS1",2778
"559",0.52,"Premium","E","VS2",1815
"560",0.3,"Very Good","H","SI1",432
"561",0.3,"Ideal","H","VVS1",639
"562",0.89,"Ideal","E","SI2",3872
"563",0.41,"Ideal","F","VVS2",1192
"564",0.78,"Ideal","E","SI2",2340
"565",1.02,"Good","E","SI1",4443
"566",1.63,"Premium","I","VS2",10479
"567",0.38,"Very Good","E","VVS1",1053
"568",0.39,"Very Good","E","VS2",794
"569",0.41,"Ideal","F","VS1",1007
"570",1.13,"Ideal","F","VS1",8674
"571",0.5,"Very Good","G","VVS1",1887
"572",1.1,"Premium","H","SI2",4004
"573",1.2,"Ideal","H","VS1",8275
"574",0.31,"Very Good","D","VS2",692
"575",0.3,"Ideal","D","VS2",710
"576",1,"Premium","G","SI2",3427
"577",1.11,"Ideal","E","VVS1",12725
"578",1.18,"Ideal","I","VVS1",6378
"579",0.34,"Very Good","H","VS2",537
"580",0.9,"Very Good","H","VS2",3890
"581",0.56,"Ideal","D","VS2",2066
"582",1.04,"Ideal","I","SI1",4543
"583",0.92,"Very Good","D","SI2",3613
"584",0.5,"Ideal","H","VS2",1626
"585",0.39,"Ideal","F","VS1",939
"586",1.66,"Premium","I","SI2",5310
"587",0.34,"Ideal","G","VS2",596
"588",0.78,"Very Good","F","SI1",3045
"589",0.32,"Ideal","D","SI1",756
"590",0.41,"Good","G","I1",467
"591",0.54,"Ideal","G","VVS2",2060
"592",0.31,"Premium","H","VVS2",802
"593",0.38,"Ideal","F","VVS2",963
"594",0.28,"Very Good","F","VVS1",572
"595",1.11,"Good","H","SI2",4456
"596",0.31,"Ideal","F","IF",1122
"597",0.38,"Premium","F","VVS1",1257
"598",3,"Good","J","SI2",14918
"599",0.96,"Fair","E","SI2",3533
"600",0.7,"Very Good","H","SI1",2273
"601",0.35,"Ideal","F","VS2",706
"602",1.23,"Premium","E","VS2",9361
"603",0.53,"Ideal","G","VVS2",1941
"604",0.31,"Ideal","D","VS1",713
"605",0.37,"Good","G","SI2",487
"606",0.31,"Very Good","G","VVS1",642
"607",0.44,"Premium","E","VS2",1073
"608",1.45,"Premium","G","VS1",8740
"609",1.32,"Premium","G","SI1",6542
"610",1.63,"Very Good","H","VVS1",13211
"611",1.18,"Good","G","SI1",4678
"612",0.31,"Ideal","H","VVS1",907
"613",0.74,"Ideal","F","SI1",2379
"614",0.7,"Ideal","F","VVS2",3478
"615",0.77,"Good","E","SI2",2005
"616",0.52,"Ideal","E","SI1",1429
"617",1.01,"Very Good","I","SI2",3299
"618",1,"Fair","F","I1",2280
"619",0.32,"Ideal","E","VS2",900
"620",0.3,"Ideal","E","VVS1",826
"621",0.4,"Ideal","F","VVS2",1163
"622",0.31,"Ideal","H","SI1",464
"623",0.41,"Ideal","G","IF",1276
"624",0.3,"Ideal","H","VVS1",665
"625",1.1,"Ideal","J","VS2",4537
"626",2.04,"Premium","G","SI2",16426
"627",1.52,"Ideal","H","VS2",11272
"628",0.56,"Ideal","G","VVS2",2167
"629",0.39,"Very Good","G","VS2",734
"630",0.4,"Very Good","I","VS1",882
"631",0.36,"Ideal","G","VS2",664
"632",1,"Premium","G","VS2",5242
"633",2.01,"Very Good","J","SI2",11660
"634",0.71,"Ideal","D","VS2",3161
"635",1.5,"Very Good","F","VS2",14242
"636",1.15,"Premium","H","SI2",4830
"637",0.28,"Very Good","H","VVS2",450
"638",1.23,"Ideal","H","SI2",6199
"639",0.5,"Ideal","H","SI1",1666
"640",1.22,"Very Good","F","SI1",7372
"641",0.34,"Premium","H","VS1",765
"642",0.38,"Ideal","G","VS1",882
"643",1.22,"Ideal","H","SI2",5502
"644",1.21,"Very Good","J","VS2",4754
"645",0.31,"Ideal","D","VS2",942
"646",0.24,"Very Good","F","SI1",370
"647",1.5,"Good","J","SI1",6523
"648",0.71,"Premium","I","SI2",1917
"649",1.34,"Very Good","J","VS1",6237
"650",0.43,"Very Good","G","VVS1",1143
"651",0.23,"Very Good","E","VVS1",530
"652",2.12,"Ideal","I","SI2",15647
"653",0.3,"Ideal","E","VVS2",1013
"654",0.3,"Ideal","D","VS2",710
